,DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE
190509,GDSC1,281,12974365,683665,MC-CAR,SIDM00636,MM,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.72821,0.988933,0.026708,0.329719
190510,GDSC1,281,12974714,683667,PFSK-1,SIDM01132,MB,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.5213360000000002,0.941065,0.068691,-0.819889
190511,GDSC1,281,12975004,684052,A673,SIDM00848,UNCLASSIFIED,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.217925,0.9376959999999999,0.10626600000000001,-1.1089040000000001
190512,GDSC1,281,12975315,684055,ES3,SIDM00265,UNCLASSIFIED,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,1.9898619999999998,0.905858,0.150749,-1.3261459999999998
190513,GDSC1,281,12975662,684057,ES5,SIDM00263,UNCLASSIFIED,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,1.293709,0.8203450000000001,0.075817,-1.989266
190514,GDSC1,281,12975995,684059,ES7,SIDM00269,UNCLASSIFIED,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,1.673282,0.8733190000000001,0.084744,-1.6277039999999998
190515,GDSC1,281,12976345,684062,EW-11,SIDM00203,UNCLASSIFIED,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,1.707255,0.8447509999999999,0.068766,-1.595343
190516,GDSC1,281,12976650,684072,SK-ES-1,SIDM01111,UNCLASSIFIED,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.396159,0.923688,0.137106,-0.939127
190517,GDSC1,281,12976996,687448,COLO-829,SIDM00909,SKCM,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.295205,0.965471,0.032303,0.8698100000000001
190518,GDSC1,281,12977333,687452,5637,SIDM00807,BLCA,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,1.869987,0.915756,0.049113,-1.440333
190519,GDSC1,281,12977638,687455,RT4,SIDM01085,BLCA,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.418976,0.985631,0.028167,0.987708
190520,GDSC1,281,12977937,687457,SW780,SIDM01160,BLCA,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.019726,0.952425,0.290663,-0.345148
190521,GDSC1,281,12978241,687459,TCCSUP,SIDM01190,BLCA,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.985157,0.974425,0.148723,0.5744739999999999
190522,GDSC1,281,12978544,687505,C-33-A,SIDM00889,CESC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.306614,0.971232,0.057847,-0.07187299999999999
190523,GDSC1,281,12978847,687506,C-4-I,SIDM00905,CESC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.257789,0.986146,0.069188,0.8341700000000001
190524,GDSC1,281,12979138,687514,ME-180,SIDM00627,CESC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.610130000000001,0.986505,0.037469,1.169792
190525,GDSC1,281,12979443,687561,42-MG-BA,SIDM00982,GBM,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.317121,0.924998,0.093061,-1.0144149999999998
190526,GDSC1,281,12979747,687562,8-MG-BA,SIDM00998,GBM,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,1.7632900000000002,0.902442,0.05776799999999999,-1.541967
190527,GDSC1,281,12980097,687563,A172,SIDM00799,GBM,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.015985,0.961829,0.098037,-0.348712
190528,GDSC1,281,12980393,687568,GB-1,SIDM00581,GBM,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.212697,0.905483,0.14596599999999998,-1.113884
190529,GDSC1,281,12980744,687586,T98G,SIDM01171,GBM,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.668019,0.962325,0.081347,-0.680167
190530,GDSC1,281,12981046,687588,U-118-MG,SIDM01193,GBM,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.573992,0.980929,0.05515900000000001,1.135369
190531,GDSC1,281,12981352,687590,U-87-MG,SIDM01189,GBM,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.855366,0.964915,0.037652,0.450842
190532,GDSC1,281,12981694,687592,YKG-1,SIDM00315,GBM,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.353196,0.92458,0.119677,-0.980052
190533,GDSC1,281,12981995,687596,ChaGo-K-1,SIDM00924,UNCLASSIFIED,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.551529,0.984208,0.034434,1.113972
190534,GDSC1,281,12982289,687600,NCI-H720,SIDM01120,UNCLASSIFIED,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.253734,0.908983,0.208252,-1.074794
190535,GDSC1,281,12982635,687777,Calu-3,SIDM00922,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.533564,0.978841,0.092024,1.09686
190536,GDSC1,281,12982947,687780,COR-L23,SIDM00512,UNCLASSIFIED,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.023817,0.9615530000000001,0.069475,-0.341252
190537,GDSC1,281,12983258,687787,LK-2,SIDM00548,LUSC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.1093709999999986,0.986391,0.034779000000000004,0.6927939999999999
190538,GDSC1,281,12983568,687794,NCI-H1437,SIDM00734,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.406868,0.98635,0.06579299999999999,0.976175
190539,GDSC1,281,12983864,687798,NCI-H1623,SIDM00747,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.754622,0.983923,0.029128,1.307428
190540,GDSC1,281,12984177,687799,NCI-H1648,SIDM00746,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.486687,0.979568,0.091731,1.052206
190541,GDSC1,281,12984525,687800,NCI-H1650,SIDM00745,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.0702479999999985,0.961499,0.17049699999999998,0.6555270000000001
190542,GDSC1,281,12984639,687802,NCI-H1693,SIDM00742,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.886876,0.898625,0.107033,-0.471695
190543,GDSC1,281,12984866,687804,NCI-H1770,SIDM00737,UNCLASSIFIED,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.3960160000000004,0.974612,0.098733,0.013287
190544,GDSC1,281,12985218,687807,NCI-H1838,SIDM00769,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,5.303011,0.9821049999999999,0.031030000000000002,1.829796
190545,GDSC1,281,12985559,687812,NCI-H2085,SIDM00709,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.317673,0.962766,0.278565,-0.061338
190546,GDSC1,281,12985834,687815,NCI-H2170,SIDM00716,LUSC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.4701309999999985,0.9831690000000001,0.038368,1.0364360000000001
190547,GDSC1,281,12986131,687816,NCI-H2228,SIDM00729,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.7405550000000005,0.972724,0.08635699999999999,1.294028
190548,GDSC1,281,12986406,687819,NCI-H2342,SIDM00727,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.434202,0.985087,0.028914,1.002212
190549,GDSC1,281,12986707,687820,NCI-H2347,SIDM00726,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.696073,0.965056,0.038403,0.299107
190550,GDSC1,281,12987019,687821,NCI-H2405,SIDM00724,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.2857569999999985,0.980986,0.06479499999999999,0.8608110000000001
190551,GDSC1,281,12987323,687829,NCI-H661,SIDM01122,UNCLASSIFIED,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.578195,0.98087,0.056719000000000006,1.1393719999999998
190552,GDSC1,281,12987733,687983,DMS-114,SIDM00865,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.097724,0.978101,0.023864,0.6817000000000001
190553,GDSC1,281,12988082,687985,DMS-273,SIDM00522,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.867173,0.945441,0.109454,-0.49046300000000004
190554,GDSC1,281,12988377,687995,NCI-H1048,SIDM00654,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,1.7678740000000002,0.911414,0.046466,-1.5376
190555,GDSC1,281,12988682,687997,NCI-H1092,SIDM00653,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.406134,0.9574,0.041572000000000005,0.022925
190556,GDSC1,281,12989026,688001,NCI-H1417,SIDM00642,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.0717790000000003,0.890976,0.048508,-1.248116
190557,GDSC1,281,12989367,688006,NCI-H1694,SIDM00741,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.44715,0.9746799999999999,0.101951,0.06199400000000001
190558,GDSC1,281,12989719,688007,NCI-H187,SIDM00767,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.0710739999999985,0.979863,0.021166,0.6563140000000001
190559,GDSC1,281,12990062,688010,NCI-H1963,SIDM00760,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.836172,0.990384,0.023362,0.432558
190560,GDSC1,281,12990224,688011,NCI-H2029,SIDM00735,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.014485,0.990991,0.031933,0.60241
190561,GDSC1,281,12990529,688013,NCI-H209,SIDM00706,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,0.814554,0.772733,0.16463899999999998,-2.4456860000000002
190562,GDSC1,281,12990871,688014,NCI-H2141,SIDM00699,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.245215,0.989437,0.022857,0.8221919999999999
190563,GDSC1,281,12991433,688018,NCI-H2227,SIDM00730,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.598074,0.9674870000000001,0.017925999999999997,0.205758
190564,GDSC1,281,12991704,688021,NCI-H345,SIDM00719,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.32523,0.975241,0.108868,0.8984099999999999
190565,GDSC1,281,12992057,688023,NCI-H446,SIDM00965,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.8625760000000002,0.980289,0.04848,0.45770900000000003
190566,GDSC1,281,12992408,688025,NCI-H526,SIDM01128,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.00292,0.903934,0.127073,-1.313707
190567,GDSC1,281,12992750,688026,NCI-H64,SIDM01126,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.354337,0.993294,0.020383000000000002,-0.026414
190568,GDSC1,281,12993019,688027,NCI-H69,SIDM01121,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.835061,0.9375110000000001,0.190255,-0.52105
190569,GDSC1,281,12993358,688031,NCI-H82,SIDM01131,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.613726,0.928443,0.134349,-0.731884
190570,GDSC1,281,12993709,688058,NCI-H2052,SIDM00713,MESO,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.322867,0.9741280000000001,0.074543,0.8961589999999999
190571,GDSC1,281,12993936,688086,SK-N-DZ,SIDM01100,NB,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.682162,0.98459,0.121118,1.238407
190572,GDSC1,281,12994284,688087,SK-N-FI,SIDM01099,NB,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.1968109999999985,0.986109,0.090659,0.7760849999999999
190573,GDSC1,281,12994628,688121,VA-ES-BJ,SIDM01179,UNCLASSIFIED,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,1.8414099999999998,0.8908209999999999,0.097852,-1.467554
190574,GDSC1,281,12994975,713869,VMRC-LCD,SIDM00320,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.6444870000000003,0.9922040000000001,0.031012,0.249969
190575,GDSC1,281,12995119,713878,LU-139,SIDM00293,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.378207,0.9024969999999999,0.145266,-0.956227
190576,GDSC1,281,12995458,713880,SBC-5,SIDM00368,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.747293,0.972246,0.040886,-0.604654
190577,GDSC1,281,12995760,713885,SBC-1,SIDM00365,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.199253,0.9030299999999999,0.18582200000000001,-1.12669
190578,GDSC1,281,12996107,713899,LU-135,SIDM00294,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.012377,0.965461,0.036002,-0.352148
190579,GDSC1,281,12996405,717431,SK-N-SH,SIDM01098,NB,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.77552,0.9566100000000001,0.036610000000000004,-0.5777669999999999
190580,GDSC1,281,12996715,722045,NCI-H2030,SIDM00715,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.941546,0.976508,0.16183,0.532932
190581,GDSC1,281,12997014,722046,NCI-H2122,SIDM00702,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.868988,0.981234,0.022327,0.46381700000000003
190582,GDSC1,281,12997317,722058,NCI-H1734,SIDM00739,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.636019,0.935693,0.077941,-0.710648
190583,GDSC1,281,12997528,722066,NCI-H650,SIDM01124,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.8803660000000004,0.963102,0.088946,0.474655
190584,GDSC1,281,12997838,724812,T24,SIDM01184,BLCA,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.586325,0.9736030000000001,0.079691,0.19456700000000002
190585,GDSC1,281,12998143,724825,NCI-H929,SIDM01148,MM,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.573853,0.965823,0.039321,-0.7698649999999999
190586,GDSC1,281,12998286,724828,SK-N-AS,SIDM01101,NB,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.292762000000001,0.976972,0.096305,0.8674839999999999
190587,GDSC1,281,12998580,724831,NCI-H1299,SIDM00649,UNCLASSIFIED,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.257548,0.974801,0.13329000000000002,0.83394
190588,GDSC1,281,12998893,724834,NCI-H2087,SIDM00708,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.049856,0.9807530000000001,0.044668,0.636103
190589,GDSC1,281,12999205,724838,UM-UC-3,SIDM01182,BLCA,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.851735,0.986901,0.101385,0.44738199999999995
190590,GDSC1,281,12999505,724839,SW756,SIDM01174,CESC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.633079,0.983812,0.032213,1.191652
190591,GDSC1,281,12999806,724855,NCI-H727,SIDM01119,UNCLASSIFIED,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.365461,0.962411,0.08653,0.936733
190592,GDSC1,281,13000112,724859,Calu-6,SIDM00921,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.468327,0.983252,0.031456,1.034718
190593,GDSC1,281,13000461,724863,LU-65,SIDM00547,UNCLASSIFIED,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.208415,0.933109,0.17661,-0.16541199999999998
190594,GDSC1,281,13000812,724866,NCI-H1355,SIDM00645,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.701555,0.974886,0.10558699999999999,1.256879
190595,GDSC1,281,13001157,724868,NCI-H1792,SIDM00771,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.5414000000000003,0.987402,0.056829,0.151773
190596,GDSC1,281,13001460,724869,HPAF-II,SIDM00669,PAAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.461779,0.966899,0.121207,1.0284799999999998
190597,GDSC1,281,13001751,724870,MIA-PaCa-2,SIDM00505,PAAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.4589199999999996,0.9596879999999999,0.09941,0.073206
190598,GDSC1,281,13002029,724872,SHP-77,SIDM01078,SCLC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.807611,0.99035,0.021748,0.405352
190599,GDSC1,281,13002380,724873,NCI-H2009,SIDM00756,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.604733,0.969561,0.035458,0.212101
190600,GDSC1,281,13002683,724874,NCI-H2291,SIDM00728,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.698305,0.971573,0.08030599999999999,1.253783
190601,GDSC1,281,13002995,724878,SW1573,SIDM01163,LUAD,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.74475,0.957478,0.025878,0.345474
190602,GDSC1,281,13003304,724879,SW900,SIDM01158,LUSC,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.32401,0.98367,0.04868,0.8972479999999999
190603,GDSC1,281,13003606,735784,TE-5,SIDM00347,ESCA,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.36333,0.984308,0.031315,0.934702
190604,GDSC1,281,13003954,749709,HCC1954,SIDM00872,BRCA,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.714532,0.971217,0.047553,0.31669
190605,GDSC1,281,13004256,749710,HCC1143,SIDM00866,BRCA,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,5.059888,0.979098,0.026523,1.598209
190606,GDSC1,281,13004551,749711,HCC1187,SIDM00885,BRCA,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,2.115451,0.929914,0.150566,-1.206515
190607,GDSC1,281,13004891,749712,HCC1395,SIDM00884,BRCA,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,3.9445370000000004,0.9655299999999999,0.062489,0.5357810000000001
190608,GDSC1,281,13005439,749714,HCC1937,SIDM00874,BRCA,1017,Olaparib,"PARP1, PARP2",Genome integrity,1046,Y,0.019531,5.0,4.1241759999999985,0.976459,0.100458,0.706896
