,feature,factor,value,view
1,SCYL3_mRNA,Factor1,0.114797830406117,mRNA
2,RAD52,Factor1,0.000428552747020588,mRNA
3,BAD,Factor1,0.0170864208190411,mRNA
4,CD99,Factor1,0.0680463369237527,mRNA
5,HS3ST1,Factor1,0.461980079535913,mRNA
6,LASP1,Factor1,0.00584628062775815,mRNA
7,M6PR,Factor1,0.0117769590853438,mRNA
8,CFLAR,Factor1,0.00497471873942977,mRNA
9,TFPI,Factor1,0.0417256714283375,mRNA
10,RBM5,Factor1,0.00135545145203821,mRNA
11,AK2,Factor1,0.00144692172588068,mRNA
12,RECQL,Factor1,0.13328848263526,mRNA
13,HSPB6,Factor1,0.301360853584468,mRNA
14,ARHGAP33,Factor1,0.0225430789996393,mRNA
15,DHX33,Factor1,0.00220511770982911,mRNA
16,LIG3,Factor1,0.0013360014850313,mRNA
17,FAM214B,Factor1,0.154099398763097,mRNA
18,MSL3,Factor1,0.00144321901273508,mRNA
19,FBXL3,Factor1,0.0255770706970044,mRNA
20,ITGAL,Factor1,0.0154363759854851,mRNA
21,PDK2,Factor1,0.0027825375663255,mRNA
22,ITGA2B,Factor1,0.233042674493059,mRNA
23,YBX2,Factor1,0.0529985834646141,mRNA
24,CACNA1G,Factor1,0.397506754844275,mRNA
25,DLX6,Factor1,0.340846278033345,mRNA
26,CCL26,Factor1,0.00584940737160657,mRNA
27,PAF1,Factor1,0.0102577101490429,mRNA
28,SCIN,Factor1,0.0844829161832534,mRNA
29,ARSD,Factor1,0.145835687982529,mRNA
30,GAS7,Factor1,0.0083981231777286,mRNA
31,TRAPPC6A,Factor1,0.2132835025033,mRNA
32,RHBDF1,Factor1,0.0293802726349612,mRNA
33,BAIAP3,Factor1,0.105506033431405,mRNA
34,PIGQ,Factor1,0.00428342470707176,mRNA
35,TEAD3,Factor1,0.00270860194972987,mRNA
36,DNAJC11,Factor1,0.000295616534604967,mRNA
37,E2F2,Factor1,0.00127380321686934,mRNA
38,SYN1,Factor1,0.264751085661948,mRNA
39,JARID2,Factor1,0.149754313528439,mRNA
40,DLEC1,Factor1,0.283205990085326,mRNA
41,CYB561,Factor1,0.148239595102387,mRNA
42,SS18L2,Factor1,0.0200525598280177,mRNA
43,ST3GAL1,Factor1,0.0236737103760242,mRNA
44,RPS20,Factor1,0.000630289321552913,mRNA
45,UBE3C,Factor1,0.000320009815932539,mRNA
46,TENM1,Factor1,0.225759836870355,mRNA
47,BAZ1B,Factor1,0.00177206150764827,mRNA
48,DYRK4,Factor1,0.0105579407098993,mRNA
49,NCAPD2,Factor1,0.00392001796174221,mRNA
50,GIPR,Factor1,0.139440783835106,mRNA
51,LRRC23,Factor1,0.00657981558652342,mRNA
52,ELOA,Factor1,0.106848698765533,mRNA
53,ANOS1,Factor1,0.395076956800048,mRNA
54,UTP18,Factor1,0.0016498345744092,mRNA
55,SYT7,Factor1,0.35958987447434,mRNA
56,LARS2,Factor1,0.00390303572438053,mRNA
57,ANLN,Factor1,0.132711259945767,mRNA
58,WIZ,Factor1,0.0763414889860623,mRNA
59,RABGAP1,Factor1,0.000277820174031205,mRNA
60,MAP4K3,Factor1,0.000510231983335298,mRNA
61,GABRA3,Factor1,0.130341088543921,mRNA
62,ERCC1,Factor1,0.0474707076252639,mRNA
63,MAN2B2,Factor1,0.00414637006706792,mRNA
64,CLDN11,Factor1,0.052382572982367,mRNA
65,PGM3,Factor1,0.0991411857946732,mRNA
66,DDX11,Factor1,0.114750991967438,mRNA
67,HEBP1,Factor1,0.0536073398839664,mRNA
68,GPRC5A,Factor1,0.263841486146239,mRNA
69,ZMYND11,Factor1,0.0471617455124674,mRNA
70,XYLT2,Factor1,0.0255684496970803,mRNA
71,ISL1,Factor1,0.0258461619867218,mRNA
72,CYP24A1,Factor1,0.0277625659526497,mRNA
73,CD74,Factor1,0.0153069331514316,mRNA
74,ZRANB1,Factor1,0.129301561656073,mRNA
75,ADGRA2,Factor1,0.466936312788845,mRNA
76,SAMD4A,Factor1,0.283033705474743,mRNA
77,RUNX3,Factor1,0.0368018435709752,mRNA
78,FHL1,Factor1,0.704029526258514,mRNA
79,RTF2,Factor1,0.00173614211145989,mRNA
80,BIRC3,Factor1,0.00190248263460861,mRNA
81,STRAP,Factor1,0.000854092266313117,mRNA
82,GCLM,Factor1,0.142296651933659,mRNA
83,EHD2,Factor1,0.359959031708077,mRNA
84,TOMM34,Factor1,0.00707958971364485,mRNA
85,SLAMF7,Factor1,0.0203640193591173,mRNA
86,SH2D2A,Factor1,0.212173931142439,mRNA
87,ARNTL2,Factor1,0.00949212801960801,mRNA
88,ANK1,Factor1,0.379975493548224,mRNA
89,NUP160,Factor1,9.56750912112039e-05,mRNA
90,GRN,Factor1,0.00228152202671862,mRNA
91,FAM13B,Factor1,0.00520909490910949,mRNA
92,ARHGAP31,Factor1,0.216519251092993,mRNA
93,ABCF2,Factor1,0.00055068585827298,mRNA
94,LRRC7,Factor1,0.241861927709648,mRNA
95,MAP2K3,Factor1,0.00752059810486173,mRNA
96,NSMAF_mRNA,Factor1,0.00137407474017331,mRNA
97,MYOM2,Factor1,0.000852442018428552,mRNA
